id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,UUID,data_source,estimated_mass,spectral_type,teff_gspphot,logg_gspphot,mh_gspphot,derived_spectral_type,mtgr_mass,temp_mass,temp_based_b_field,parameter_source,best_spectral_type,spectral_source,best_mass,mass_source,best_b_field,b_field_source,proper_name,flamsteed,simbad_main_id,simbad_ids,CNS3_name,gliese,ybs_name,periphery_distance_au,periphery_source
1666,,,,nan,nan; nan,nan,72.19715787165818,10.05039445254577,17.27247405485901,-58.97812989886889,-82.49711408398231,10.349958,10.918032,9.73125894751131,,,5.199892222508323,16.193008198584504,3.014293670273382,8.073648424220071,9.349062221288245,-4.844303896434771,1.2600781154425769,0.1754124743210967,-2.8593404261227016e-07,-3.999572955996881e-07,nan,nan,Tau,,0,,0.010952075297654018,,,,a276c999-6534-4729-ba53-3322bf90a273,Gaia DR3,,,,,,,,,,SpType:None;Mass:None;BField:None,,None,,None,,None,,,,,,,,,None
1667,,,,nan,nan; nan,nan,120.62821794590563,-66.02152050399158,17.281331361562803,-158.11015125099058,-130.71208568275858,45.14768,6.934041,5.746155034881729,G8V,,-3.5779849818591645,6.043247446870426,-15.789920753240608,6.781123730284628,13.968096727426339,-45.60264078852365,2.1053595739693645,-1.1522929099675991,-7.665396444877825e-07,-6.337100742536327e-07,nan,nan,southern,,0,,0.4300688484331123,,,,e45958a0-6abf-451d-9b9a-1dc1353ff1f2,Gaia DR3,,,5015.6987,4.5046,-0.1396,G8V,0.8516002664617762,0.8516002664617762,1.5,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,G8V,Temperature-derived,0.8516002664617762,MTGR,1.5,Temperature-based,,,,,,,,55.71,safedistance.py
1668,,,,nan,nan; nan,nan,120.63020270507427,-66.0264302882151,17.28543188556644,-152.10436441735217,-114.96084129646175,45.51187,11.89644,10.708038376862039,M3V,,-3.578353798922707,6.043392837517169,-15.794269295277276,5.686845640910121,14.855842288513797,-45.41281355963665,2.1053942145517164,-1.152378601867862,-7.374227682600282e-07,-5.573458865238678e-07,nan,nan,southern,,0,,0.004454353185483978,,,,b780922b-1baf-4ed2-96b1-ea090c489986,Gaia DR3,,,3051.7524,4.2834,-0.7966,M3V,0.3020594818704507,0.3020594818704507,300.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M3V,Temperature-derived,0.3020594818704507,MTGR,300.0,Temperature-based,,,,,,,,180.5,estimated_parameters
1669,,,,nan,nan; nan,nan,193.80080693446234,-59.4731389365543,17.288432551567375,24.57613266058533,-386.81150816440714,,14.837814,13.649036231389315,,,-8.52801079186521,-2.094807709481583,-14.892102359446143,,,,3.3824621740282264,-1.0380020909389116,1.1914845342614669e-07,-1.8753151116871755e-06,nan,nan,southern,,0,,0.0002967464331119356,,,,fa760bc7-600a-4262-bba3-09a9e046b145,Gaia DR3,,,,,,,,,,SpType:None;Mass:None;BField:None,,None,,None,,None,,,,,,,,,None
1670,,,,nan,nan; nan,nan,117.42488030146365,-3.3430177047924063,17.29287817647496,-161.90404158831535,-55.70959951657244,5.456342,11.802665,10.613328346757504,,,-7.951291301248096,15.323306195319848,-1.0084093978006448,9.39334792221393,10.710956729931311,-4.8768261398381485,2.049450785020772,-0.05834666590109131,-7.849329438894257e-07,-2.700877601476751e-07,nan,nan,CMa,,0,,0.004860362498641333,,,,ba9efd84-3fe0-4a70-b3d9-a4bcb8c9ff2a,Gaia DR3,,,,,,,,,,SpType:None;Mass:None;BField:None,,None,,None,,None,,,,,,,,,None
1671,,,,nan,nan; nan,nan,295.96569928530664,-32.40297314008056,17.293096751885493,-24.45699525656009,-415.51394527822066,26.636501,10.681555,9.492190937881274,M2V,,6.392608527647238,-13.12672904223322,-9.266862259368882,0.05308234738669526,-4.687737784400138,-43.0300553499639,5.165575925496029,-0.5655385687296915,-1.1857085899211358e-07,-2.0144684536268046e-06,nan,nan,Sgr,,0,,0.013649716296546625,,,,d76ee4bf-e556-4348-a7a6-e7d2aa92367f,Gaia DR3,,,3245.1357,4.1757,-0.8538,M2V,0.30957501308675456,0.30957501308675456,200.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M2V,Temperature-derived,0.30957501308675456,MTGR,200.0,Temperature-based,,,,,,,,159.84,estimated_parameters
1672,,,,nan,nan; nan,nan,69.23691490050261,-29.056920485148602,17.293293200839994,514.4795621188998,176.00594087645314,37.464024,12.439991,11.250602473176173,M3V,,5.358946153147981,14.134952258350312,-8.398976753869285,-25.339524040733252,52.12391534093631,-5.584065275955179,1.2084121289368928,-0.5071389329560312,2.4942673036648604e-06,8.53300880934606e-07,nan,nan,Eri,,0,,0.0027024583584183822,,,,bea9f70a-df1b-4214-ad5f-85c065965307,Gaia DR3,,,3055.2173,4.4781,-0.8179,M3V,0.3021966139172323,0.3021966139172323,300.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M3V,Temperature-derived,0.3021966139172323,MTGR,300.0,Temperature-based,,,,,,,,180.54,estimated_parameters
1673,,,,nan,nan; nan,nan,27.965500107121475,64.43411796149833,17.29360227565825,237.44135897583192,-193.60692747819806,-13.223567,10.408663,9.21923546253371,M2V,,6.591573617873388,3.4997123588472747,15.600379813137225,-1.5227537096306882,21.228200447924195,-18.7776428723076,0.48809005383609666,1.1245875090465627,1.1511481929272383e-06,-9.386328719901217e-07,nan,nan,Dra,,0,,0.017551159580879855,,,,17d2d79f-d0dd-418e-b3e4-2fb17ed9e514,Gaia DR3,,,3237.374,4.0695,-0.8609,M2V,0.30927862357238767,0.30927862357238767,200.0,SpType:Temperature-derived;Mass:MTGR;BField:Temperature-based,M2V,Temperature-derived,0.30927862357238767,MTGR,200.0,Temperature-based,,,,,,,,159.77,estimated_parameters
1674,,,,nan,nan; nan,nan,306.90363380423844,-54.88222294269785,17.294989697947187,-258.0527991448317,200.5467416899437,42.648964,11.546468,10.356866242788836,,,5.974145260425032,-7.955763514547286,-14.146804726157729,5.890812002858521,-43.074998381594014,-25.42809712932487,5.356478896218931,-0.9578754911636487,-1.2510752747402558e-06,9.722780407322485e-07,nan,nan,southern,,0,,0.00615536063631528,,,,f01fb384-664e-4bc3-a3bf-71d205370dac,Gaia DR3,,,,,,,,,,SpType:None;Mass:None;BField:None,,None,,None,,None,,,,,,,,,None
1675,,,,nan,nan; nan,nan,301.4001192327908,-10.948816263532887,17.296559228821046,1063.4156581060315,-81.592890987097,,16.66915,15.47935080702001,,,8.847666836620458,-14.494737298266068,-3.285170217589273,,,,5.260424446515685,-0.19109289299455204,5.155584597559049e-06,-3.9557349831823576e-07,nan,nan,Sgr,,0,,5.49869558445274e-05,,,,1e118437-cde6-4ef3-a62b-ca3c2df559d0,Gaia DR3,,,,,,,,,,SpType:None;Mass:None;BField:None,,None,,None,,None,,,,,,,,,None
